,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
26446,"<ol><li>What is the ratio of longest to shortest wavelength in hydrogen spectrum of the Paschen series? (&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>R</mi>&nbsp;<mrow><mi>H</mi>&nbsp;</mrow></msub><mo>=</mo>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>109677</mn>&nbsp;<msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">c</mi>&nbsp;<mi mathvariant=""normal"">m</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup></math>)</li></ol>", Structure of Atom ,11,JEE Mains,,Chemistry,Understanding,JEE Main
33621,"<p>The value of the definite integral&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mo data-mjx-texclass=""OP"">∫</mo>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow><mrow><mn>1</mn>&nbsp;</mrow></msubsup><msup><mi>e</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>4</mn>&nbsp;</mrow></msup></mrow></msup><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mo>+</mo>&nbsp;<mi>ln</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<msqrt><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>1</mn>&nbsp;</msqrt><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mo>+</mo>&nbsp;<mn>5</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>3</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>4</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>4</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mi>d</mi>&nbsp;<mi>x</mi>&nbsp;</math>is equal to</p>", Definite Integrals,12,jee mains,,Mathematics,Understanding,JEE Main
7067,"<p>Q9 Let <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>R</mi><annotation encoding=""application/x-tex"">R</annotation></semantics></math> be a relation fiom <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>N</mi><annotation encoding=""application/x-tex"">N</annotation></semantics></math> to <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>N</mi><annotation encoding=""application/x-tex"">N</annotation></semantics></math> defined by<br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>R</mi><mo>=</mo><mo stretchy=""false"" form=""prefix"">{</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>;</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo>∈</mo><mi>N</mi><mo>,</mo><mi>a</mi><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo stretchy=""false"" form=""postfix"">}</mo><mi>A</mi><mi>r</mi><mi>e</mi></mrow><annotation encoding=""application/x-tex"">R=\{(a,b);a,b\in N,a=b^2\} Are</annotation></semantics></math><br />
<br />
the following true<br />
<br />
(1) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mo>,</mo><mi>a</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi></mrow><annotation encoding=""application/x-tex"">(a,a)\in R</annotation></semantics></math> for all <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>a</mi><mo>∈</mo><mi>N</mi></mrow><annotation encoding=""application/x-tex"">a\in N</annotation></semantics></math><br />
<br />
(2) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi><mo>⇒</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>b</mi><mo>,</mo><mi>a</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi></mrow><annotation encoding=""application/x-tex"">(a,b)\in R\Rightarrow(b,a)\in R</annotation></semantics></math><br />
<br />
(3) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi><mo>,</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>b</mi><mo>,</mo><mi>c</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi><mo>⇒</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mo>,</mo><mi>c</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>∈</mo><mi>R</mi></mrow><annotation encoding=""application/x-tex"">(a,b)\in R,(b,c)\in R\Rightarrow(a,c)\in R</annotation></semantics></math><br />
<br />
Q10 Let f be the subset of Z X Z defined by<br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>f</mi><mo>=</mo><mo stretchy=""false"" form=""prefix"">{</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>a</mi><mi>b</mi><mo>,</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>,</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo>∈</mo><mi>z</mi><mo stretchy=""false"" form=""postfix"">}</mo><mi>I</mi><mi>s</mi><mi>f</mi><mi>a</mi><mi>f</mi><mi>u</mi><mi>n</mi><mi>c</mi><mi>t</mi><mi>i</mi><mi>o</mi><mi>n</mi><mi>f</mi><mi>r</mi><mi>o</mi><mi>m</mi><mi>Z</mi><mi>t</mi><mi>o</mi><mi>Z</mi><mi>?</mi><mi>j</mi><mi>u</mi><mi>s</mi><mi>t</mi><mi>i</mi><mi>f</mi><mi>y</mi></mrow><annotation encoding=""application/x-tex"">f=\{(ab,a+b),a,b\in z\}   Is  f  a  function from Z to  Z ? justify</annotation></semantics></math><br />
<br />
Q11 <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>A</mi><mo>=</mo><mo stretchy=""false"" form=""prefix"">{</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo>,</mo><mn>3</mn><mo>,</mo><mn>5</mn><mo stretchy=""false"" form=""postfix"">}</mo><mo>,</mo><mi>B</mi><mo>=</mo><mo stretchy=""false"" form=""prefix"">{</mo><mn>4</mn><mo>,</mo><mn>6</mn><mo>,</mo><mn>9</mn><mo stretchy=""false"" form=""postfix"">}</mo></mrow><annotation encoding=""application/x-tex"">A=\{1,2,3,5\},B=\{4,6,9\}</annotation></semantics></math>, Define<br />
<br />
a relation <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>R</mi><annotation encoding=""application/x-tex"">R</annotation></semantics></math> from <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><msub><mi>A</mi><mrow></mrow></msub><mi>t</mi><mi>o</mi><mi>B</mi></mrow><annotation encoding=""application/x-tex"">A_{} to  B</annotation></semantics></math> by <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>R</mi><mo>=</mo><mo stretchy=""false"" form=""prefix"">{</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow></mrow><annotation encoding=""application/x-tex"">R=\{(x,y)</annotation></semantics></math>; the difference between <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mi>a</mi><mi>n</mi><mi>d</mi><mi>y</mi></mrow><annotation encoding=""application/x-tex"">x  and  y</annotation></semantics></math> is odd <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>∈</mo><mi>A</mi><mo>,</mo><mi>y</mi><mo>∈</mo><mi>B</mi><mo stretchy=""false"" form=""postfix"">}</mo></mrow><annotation encoding=""application/x-tex"">x\in A,y\in B\}</annotation></semantics></math> Write the relation in the roster form. Write domain and range</p>
",Relations functions ,11,ML Agggarwal ,,,,
75468,<p>What is the percentage of scheduled castes and scheduled tribes in total population of the country?</p>,India Migration,12,NCERT,,Geography,Remebering,CBSE
60232,<p>How did a revolution occur in textile industry in the beginning of modern age? Which two machines greatly contributed to it?</p>,Term 2 - The Industrial Revolution,11,NCERT,,History,Remebering,CBSE
2168,"<p>An electric refrigerator rated 400 W operates 8 hours / day. What is the cost of the energy to operate it for 30 days at Rs 3.00 per kW h?</p>
",Electricity,10,NCERT Science,,,,
93599,"<p>Multiply the monomial by the binomial and find the value of each for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;<mo>=</mo>&nbsp;<mo>−</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mi>y</mi>&nbsp;<mo>=</mo>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0.25</mn>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>z</mi>&nbsp;<mo>=</mo>&nbsp;<mn>0.005</mn>&nbsp;</math>:</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<msup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<msup><mi>z</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow></math></p>",Algebraic Expressions and identities,8,RD Sharma,,Mathematics,,CBSE
6848,"<p>Find the remainder when <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mi>a</mi><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>6</mn><mi>x</mi><mo>−</mo><mi>a</mi></mrow><annotation encoding=""application/x-tex"">x^3-ax^2+6x-a</annotation></semantics></math> is divided by <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>−</mo><mi>a</mi></mrow><annotation encoding=""application/x-tex"">x-a</annotation></semantics></math>.</p>
",Polynomials,9,Mathematics NCERT ,Remainder Theorem,,,
96848,<p>Name the scientists who gave the following laws in the early classification of elements:</p><p>Law of octaves</p>,Periodic Classification of animals,10,Lakhmir,,Chemistry,,CBSE
13235,"<p>An&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn>&nbsp;<mi mathvariant=""normal"">%</mi>&nbsp;</math>solution of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">K</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math>(I),&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math>(II),&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">B</mi>&nbsp;<mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub></math>(III) and urea (IV) have their osmotic pressure at the same temperature in the ascending order (molar masses of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mo>,</mo>&nbsp;<mrow><mi mathvariant=""normal"">K</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math>,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">B</mi>&nbsp;<mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub></math>and urea are respectively&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>58.5</mn>&nbsp;<mo>,</mo>&nbsp;<mn>74.5</mn>&nbsp;<mo>,</mo>&nbsp;<mn>208.4</mn>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>60</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>mole&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>&nbsp;</mi><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup></math>). Assume&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>100</mn>&nbsp;<mi mathvariant=""normal"">%</mi>&nbsp;</math>ionization of the electrolytes at this temperature</p>",Solutions,12,NCERT Xtract,Solutions,,,
69121,"<p>The equilibrium constant for a reaction is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn>&nbsp;<mo>×</mo>&nbsp;<msup><mn>10</mn>&nbsp;<mrow><mn>20</mn>&nbsp;</mrow></msup></math>at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>300</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">K</mi>&nbsp;</mrow></math>. The standard Gibbs energy change for this reaction is:</p>",Equilibrium,12,NEET Exam,,Chemistry,Understanding,JEE Main
22071,"<ol><li>Use suitable identity to find the product&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mn>7</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>4</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>5</mn>&nbsp;<mo stretchy=""false"">)</mo></math></li></ol>", POLYNOMIALS,9,NCERT,,Mathematics,Understanding,CBSE
11941,"<p>Which of the following equation depicts reducing nature of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo>?</mo></math></p>",Hydrogen,11,NCERT Chemistry Exemplar,,,,
82125,"<p>Prove the following trigonometric identities:</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>tan</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>θ</mi>&nbsp;<msup><mi>cos</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>θ</mi>&nbsp;<mo>=</mo>&nbsp;<mn>1</mn>&nbsp;<mo>−</mo>&nbsp;<msup><mi>cos</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>θ</mi></math></p>",trignometric Identities,10,RD Sharma,,Mathematics,,CBSE
50047,<p>Fill in the blanks:</p>,Grammar-Preposition,3,NCERT,,English,Remebering,CBSE
90883,"<p>Differentiate the following functions with respect to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>:</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>3</mn>&nbsp;<mi>y</mi>&nbsp;<mo>=</mo>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>4</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mi>y</mi>&nbsp;<mo stretchy=""false"">)</mo></math></p>",Differentiation,12,RD Sharma,,Mathematics,Applying,CBSE
83585,"<ol><li>Assertion: If polar ice melts, days will be shorter.<br>Reason: Moment of inertia decreases and thus angular velocity increases.</li></ol>",System of Particles and Rotational Motion,12,NEET,,Physics,Understanding,NEET
24388,<p>What is the frequency of oscillation of a simple pendulum mounted in a cabin that is falling freely under gravity?</p>,Oscillations,11,NCERT,,Physics,Remebering,CBSE
101320,"<ol><li>Calculate the volume occupied by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>of hydrogen at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>27</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math>and 4 atmosphere pressure, if at S.T.P. it occupies 22.4 litres.</li></ol>",Study of Gas Laws,9,Selina,,Chemistry,,ICSE
32685,"<p>If the matrices&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi>&nbsp;<mo>=</mo>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">[</mo>&nbsp;<mtable columnalign=""center center center"" columnspacing=""1em"" rowspacing=""4pt""><mtr><mtd><mn>1</mn>&nbsp;</mtd><mtd><mn>1</mn>&nbsp;</mtd><mtd><mn>2</mn>&nbsp;</mtd></mtr><mtr><mtd><mn>1</mn>&nbsp;</mtd><mtd><mn>3</mn>&nbsp;</mtd><mtd><mn>4</mn>&nbsp;</mtd></mtr><mtr><mtd><mn>1</mn>&nbsp;</mtd><mtd><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mtd><mtd><mn>3</mn>&nbsp;</mtd></mtr></mtable><mo data-mjx-texclass=""CLOSE"">]</mo>&nbsp;</mrow><mo>,</mo>&nbsp;<mi>B</mi>&nbsp;<mo>=</mo>&nbsp;<mi>adj</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>A</mi>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>C</mi>&nbsp;<mo>=</mo>&nbsp;<mn>3</mn>&nbsp;<mi>A</mi>&nbsp;</math>, then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mo stretchy=""false"">|</mo>&nbsp;<mi>adj</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>B</mi>&nbsp;<mo stretchy=""false"">|</mo>&nbsp;</mrow><mrow><mo stretchy=""false"">|</mo>&nbsp;<mi>C</mi>&nbsp;<mo stretchy=""false"">|</mo>&nbsp;</mrow></mfrac></math>is equal to:</p>",determinants,12,jee mains,,Mathematics,Understanding,JEE Main
2776,"<p>Find the equation of the ellipse, with major axis along the <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>x</mi><annotation encoding=""application/x-tex"">x</annotation></semantics></math> -axis and passing through the points <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>4</mn><mo>,</mo><mn>3</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(4,3)</annotation></semantics></math> and <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>4</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(-1,4)</annotation></semantics></math>.</p>
",Conic Sections,11,Mathematics NCERT ,Ellipse,,,
87210,"<p>A manufacturer of the radio sets produced 600 units in the third year and 700 units in the seventh year. Assuming that the product increases uniformly by a fixed number every year, find<br>(i) the production in the first year<br>&nbsp;</p>",Arithmetic Progressions,11,RD Sharma,,Mathematics,,CBSE
20675,"<p>Fvaluate the definite intectral&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mo data-mjx-texclass=""OP"">∫</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mn>4</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>3</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>5</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>6</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>9</mn>&nbsp;<mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mi>d</mi>&nbsp;<mi>x</mi>&nbsp;</math>:</p>",Integrals,12,NCERT,,Mathematics,Understanding,CBSE
43230,<p>question</p>,Addition,1,NCERT,,Mathematics,Remebering,CBSE
89071,"<p>Verify associativity of addition of rational numbers i.e.,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mi>y</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mi>z</mi>&nbsp;<mo>=</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>y</mi>&nbsp;<mo>+</mo>&nbsp;<mi>z</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>, when:</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;<mo>=</mo>&nbsp;<mo>−</mo>&nbsp;<mn>7</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>11</mn>&nbsp;<mo>,</mo>&nbsp;<mi>y</mi>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mo>−</mo>&nbsp;<mn>5</mn>&nbsp;<mo>,</mo>&nbsp;<mi>z</mi>&nbsp;<mo>=</mo>&nbsp;<mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>22</mn></math></p>",Rational Numbers,8,RD Sharma,,Mathematics,,CBSE
25867,"<p>The percentage of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">P</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>5</mn>&nbsp;</mrow></msub></math>in diammonium hydrogen phosphate&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">[</mo>&nbsp;<msub><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;<mi mathvariant=""normal"">P</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mo data-mjx-texclass=""CLOSE"">]</mo>&nbsp;</mrow></math>is:</p>",Some Basic Concepts of Chemistry ,11,jee mains,,Chemistry,Understanding,JEE Main
23747,<p>Describe how the poverty line is estimated in India?</p>,ECO Poverty as a Challenge,9,ncert,,Social Science,Remebering,CBSE
24451,"<ol><li>The number of radial nodes for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn>&nbsp;<mi>p</mi>&nbsp;</math>orbital is</li></ol>",Structure of atoms,11,NCERT Exemplar,,Chemistry,Remebering,CBSE
64494,<p>How is the high technology industry latest generation in manufacturing activities? Explain with examples.</p>,Term 2 - Ch06 Secondary Activities,12,NCERT,,Geography,Applying,CBSE
40369,"<p>If in a triangle&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi>&nbsp;<mi>B</mi>&nbsp;<mi>C</mi>&nbsp;<mo>,</mo>&nbsp;<mi mathvariant=""normal"">∠</mi>&nbsp;<mi>B</mi>&nbsp;<mo>=</mo>&nbsp;<msup><mn>90</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup></math>then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>tan</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mfrac><mi>A</mi>&nbsp;<mn>2</mn>&nbsp;</mfrac></math>is:</p>",Trigonometric Functions and  Equation ,11,jee mains,,Mathematics,Understanding,JEE Main
101218,<p>The weight of an object on the earth is about one-sixth of the weight on the mmon.</p>,Gravitation,9,Lakhmir,,Physics,,CBSE
93546,"<ol><li>Ritu is now four times as old as his brother Raju. In 4 years time, her age will be twice of Raju's age. What are their present ages?</li></ol>",Linear Equations and Inequalities in One Variable,8,ML Aggarwal,,Mathematics,,ICSE
93978,<p>An unbiased dice is rolled four times. The probability that the minimum number on any toss is not less than 3 is</p>,Probability,12,NCERT Exemplar,,Mathematics,Remebering,NDA
50121,<ol><li>Identify given diagram and choose correct option for labelled part of the structure:</li></ol>,Cell The Unit of Life,11,NEET,,Chemistry,Understanding,JEE Main
84055,"<p>In Fig. 11.16, list the points which are: (i) in the interior of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">∠</mi>&nbsp;<mrow><mi mathvariant=""normal"">P</mi>&nbsp;</mrow></math></p>",Angles,6,RD Sharma,,Mathematics,,CBSE
